WHSE DSP_LOCN   LOCN_PICK_SEQ            SKU_BRCD
0309 BKW25E09   01005                    960062908
0309 BKW25F11   01005                    960300960
0309 BKW25C12   01005                    960127663
0309 BKW25D01   01005                    960085715
0309 BKW25D05   01005                    960158461
0309 BKW25A02   01005                    960055563
0309 BKW25A04   01005                    960142317
0309 BKW25B01   01005                    960123328
0309 BKW25C02   01005                    960082034
0309 BKW25C07   01005                    960099545
0309 BKW25F05   01005                    960123213
0309 BKW25A09   01005                    960275830
0309 BKW25F12   01005                    960298598
0309 BKW25A06   01005                    960055349
0309 BKW25B09   01005                    960301299
0309 BKW25F10   01005                    960298493
0309 BKW25B07   01005                    960115341
0309 BKW25D03   01005                    960085717
0309 BKW25F03   01005                    960267946
0309 BKW25F06   01005                    960298600
0309 BKW25B10   01005                    960232051
0309 BKW25E12   01005                    960062800
0309 BKW25A01   01005                    960128282
0309 BKW25A05   01005                    960055348
0309 BKW25E02   01005                    960306868
0309 BKW25E03   01005                    960085404
0309 BKW25D07   01005                    960160531
0309 BKW25C09   01005                    960023137
0309 BKW25F01   01005                    960275373
0309 BKW25B03   01005                    960228070
0309 BKW25B05   01005                    136300620
0309 BKW25E08   01005                    960062906
0309 BKW25E10   01005                    960062909
0309 BKW25F08   01005                    960300959
0309 BKW25D02   01005                    960085716
0309 BKW25 CH   01005                    960049956
0309 BKW25 CH   01005                    960076703
0309 BKW25 CH   01005                    960072786
0309 BKW25 CH   01005                    960123212
0309 BKW25 CH   01005                    960267096
0309 BKW25 CH   01005                    960154546
0309 BKW25 CH   01005                    960154548
0309 BKW25 CH   01005                    960166035
0309 BKW25 CH   01005                    960223404
0309 BKW25 CH   01005                    960154547
0309 BKW25 CH   01005                    960313126
0309 BKW25 CH   01005                    960313127
0309 BKW25 CH   01005                    960278600
0309 BKW25 CH   01005                    960097297
0309 BKW25 CH   01005                    960278724
0309 BKW25 CH   01005                    960312398
0309 BKW25 CH   01005                    960312400
0309 BKW25 CH   01005                    960170110
0309 BKW25 CH   01005                    960076680
0309 BKW25 CH   01005                    960103309
0309 BKW25 CH   01005                    960076702
0309 BKW25 CH   01005                    960096610
0309 BKW25 CH   01005                    960097296
0309 BKW25D08   01005                    960160528
0309 BKW25D09   01005                    960160530
0309 BKW25D11   01005                    960123223
0309 BKW25A11   01005                    960092191
0309 BKW25C03   01005                    960028022
0309 BKW25C06   01005                    136300752
0309 BKW25E06   01005                    960306872
0309 BKW25A10   01005                    960141037
0309 BKW25C10   01005                    960023136
0309 BKW25D10   01005                    960160529
0309 BKW25D12   01005                    960062798
0309 BKW25E11   01005                    960158126
0309 BKW25A03   01005                    960082440
0309 BKW25C04   01005                    960088328
0309 BKW25D04   01005                    960158462
0309 BKW25E05   01005                    960306870
0309 BKW25F04   01005                    960123970
0309 BKW25B06   01005                    960124401
0309 BKW25C01   01005                    960278786
0309 BKW25E04   01005                    960306869
0309 BKW25E07   01005                    960138460
0309 BKW25F07   01005                    960080529
0309 BKW25F09   01005                    960298599
0309 BKW25B11   01005                    960232057
0309 BKW25C08   01005                    960099547
0309 BKW24D04   01006                    960157518
0309 BKW24A13   01006                    960159554
0309 BKW24F09   01006                    960101119
0309 BKW24D10   01006                    960115207
0309 BKW24E10   01006                    960101070
0309 BKW24C01   01006                    960141480
0309 BKW24C02   01006                    960028015
0309 BKW24C04   01006                    960157515
0309 BKW24E07   01006                    960063401
0309 BKW24 CH   01006                    960047184
0309 BKW24 CH   01006                    960076704
0309 BKW24 CH   01006                    960123214
0309 BKW24 CH   01006                    960278601
0309 BKW24 CH   01006                    960312399
0309 BKW24 CH   01006                    960166036
0309 BKW24 CH   01006                    960223784
0309 BKW24 CH   01006                    960223785
0309 BKW24 CH   01006                    960166037
0309 BKW24 CH   01006                    960228155
0309 BKW24C06   01006                    960060994
0309 BKW24F01   01006                    960098174
0309 BKW24A12   01006                    960141651
0309 BKW24B08   01006                    960055226
0309 BKW24B09   01006                    960038588
0309 BKW24E03   01006                    960142586
0309 BKW24D02   01006                    960140159
0309 BKW24D06   01006                    960026371
0309 BKW24F02   01006                    960062797
0309 BKW24B07   01006                    960100913
0309 BKW24B10   01006                    960055228
0309 BKW24D12   01006                    960055231
0309 BKW24A07   01006                    960055569
0309 BKW24E09   01006                    960101072
0309 BKW24A08   01006                    960080988
0309 BKW24E11   01006                    960094413
0309 BKW24B02   01006                    960232055
0309 BKW24B04   01006                    960101071
0309 BKW24C03   01006                    960028016
0309 BKW24E02   01006                    960157800
0309 BKW24F05   01006                    960301062
0309 BKW24F07   01006                    960101121
0309 BKW24A01   01006                    960091946
0309 BKW24B01   01006                    960232052
0309 BKW24D01   01006                    960110704
0309 BKW24E06   01006                    960063402
0309 BKW24F03   01006                    960301063
0309 BKW24F10   01006                    960101127
0309 BKW24D11   01006                    960049986
0309 BKW24A05   01006                    960240815
0309 BKW24B06   01006                    960101069
0309 BKW24C05   01006                    960060995
0309 BKW24D05   01006                    960026370
0309 BKW24E04   01006                    960091796
0309 BKW24F08   01006                    960101123
0309 BKW24C10   01006                    960161535
0309 BKW24A11   01006                    960159553
0309 BKW24D09   01006                    960050136
0309 BKW24A10   01006                    960141652
0309 BKW24E12   01006                    960141481
0309 BKW24E05   01006                    960050140
0309 BKW24E08   01006                    960101073
0309 BKW24A02   01006                    960091943
0309 BKW24A03   01006                    960091944
0309 BKW24A06   01006                    960157667
0309 BKW24C07   01006                    960101126
0309 BKW24C08   01006                    960142274
0309 BKW24A04   01006                    960277149
0309 BKW24A09   01006                    960055570
0309 BKW24D07   01006                    960055519
0309 BKW24E01   01006                    960062799
0309 BKW24F04   01006                    960301064
0309 BKW24F06   01006                    960115390
0309 BKW24B03   01006                    960232053
0309 BKW24B05   01006                    960050135
0309 BKW23F14   01007                    960142289
0309 BKW23B03   01007                    960038586
0309 BKW23C02   01007                    960038583
0309 BKW23C04   01007                    960091939
0309 BKW23D04   01007                    960142275
0309 BKW23E01   01007                    960126896
0309 BKW23A11   01007                    960159644
0309 BKW23D10   01007                    960142288
0309 BKW23E08   01007                    960126961
0309 BKW23F08   01007                    960055568
0309 BKW23D11   01007                    960016288
0309 BKW23A04   01007                    960081297
0309 BKW23D05   01007                    960142272
0309 BKW23E02   01007                    960126897
0309 BKW23E10   01007                    960055559
0309 BKW23A02   01007                    960115368
0309 BKW23A07   01007                    960075076
0309 BKW23B07   01007                    960091690
0309 BKW23A01   01007                    960075077
0309 BKW23A03   01007                    960075078
0309 BKW23F05   01007                    960300070
0309 BKW23B09   01007                    136300527
0309 BKW23F09   01007                    960088002
0309 BKW23B13   01007                    136300061
0309 BKW23E11   01007                    960298559
0309 BKW23B05   01007                    960115367
0309 BKW23E03   01007                    960274038
0309 BKW23A09   01007                    960298841
0309 BKW23F07   01007                    960074484
0309 BKW23B11   01007                    136300240
0309 BKW23F12   01007                    960305863
0309 BKW23D13   01007                    960237980
0309 BKW23D09   01007                    960126963
0309 BKW23F10   01007                    960081295
0309 BKW23E07   01007                    960142287
0309 BKW23B01   01007                    960038587
0309 BKW23B04   01007                    960100573
0309 BKW23C03   01007                    960055229
0309 BKW23C05   01007                    960115370
0309 BKW23C07   01007                    960298837
0309 BKW23D03   01007                    960255693
0309 BKW23A10   01007                    960298840
0309 BKW23D12   01007                    960016476
0309 BKW23C10   01007                    960298836
0309 BKW23A05   01007                    960075075
0309 BKW23F03   01007                    960300071
0309 BKW23F04   01007                    960300069
0309 BKW23D08   01007                    960126962
0309 BKW23A08   01007                    960298842
0309 BKW23 CH   01007                    960042981
0309 BKW23 CH   01007                    136300247
0309 BKW23 CH   01007                    960074753
0309 BKW23 CH   01007                    960301065
0309 BKW23 CH   01007                    960232968
0309 BKW23 CH   01007                    960223834
0309 BKW23 CH   01007                    960160937
0309 BKW23 CH   01007                    960161142
0309 BKW23 CH   01007                    960223872
0309 BKW23 CH   01007                    960280370
0309 BKW23 CH   01007                    960233208
0309 BKW23 CH   01007                    960230858
0309 BKW23 CH   01007                    960232967
0309 BKW23 CH   01007                    960317991
0309 BKW23 CH   01007                    960223833
0309 BKW23 CH   01007                    960223873
0309 BKW23 CH   01007                    960157801
0309 BKW23 CH   01007                    960137907
0309 BKW23 CH   01007                    960272642
0309 BKW23 CH   01007                    960278423
0309 BKW23 CH   01007                    960161235
0309 BKW23 CH   01007                    960219423
0309 BKW23 CH   01007                    960239775
0309 BKW23 CH   01007                    960159830
0309 BKW23 CH   01007                    960137905
0309 BKW23 CH   01007                    960137906
0309 BKW23 CH   01007                    960088017
0309 BKW23 CH   01007                    960137904
0309 BKW23 CH   01007                    960035338
0309 BKW23 CH   01007                    136300068
0309 BKW23 CH   01007                    960074741
0309 BKW23 CH   01007                    960087873
0309 BKW23 CH   01007                    960088016
0309 BKW23 CH   01007                    136300870
0309 BKW23 CH   01007                    960097285
0309 BKW23 CH   01007                    136300062
0309 BKW23 CH   01007                    136300069
0309 BKW23 CH   01007                    960074751
0309 BKW23 CH   01007                    960035336
0309 BKW23 CH   01007                    136300067
0309 BKW23 CH   01007                    960075819
0309 BKW23 CH   01007                    960081437
0309 BKW23 CH   01007                    960075817
0309 BKW23 CH   01007                    960075820
0309 BKW23 CH   01007                    136300064
0309 BKW23 CH   01007                    960020699
0309 BKW23 CH   01007                    136300518
0309 BKW23 CH   01007                    960075821
0309 BKW23 CH   01007                    960097283
0309 BKW23 CH   01007                    960097284
0309 BKW23 CH   01007                    960098175
0309 BKW23C11   01007                    136300216
0309 BKW23C12   01007                    136300629
0309 BKW23B10   01007                    136300063
0309 BKW23C08   01007                    960298839
0309 BKW23C09   01007                    960298838
0309 BKW23C14   01007                    136300633
0309 BKW23A06   01007                    960115371
0309 BKW23E04   01007                    960094412
0309 BKW23F01   01007                    960081100
0309 BKW23F02   01007                    960082890
0309 BKW23E09   01007                    960126960
0309 BKW23F11   01007                    960100571
0309 BKW23B02   01007                    960038585
0309 BKW23C01   01007                    960273800
0309 BKW23B08   01007                    960087874
0309 BKW23F06   01007                    960091681
0309 BKW23C13   01007                    960137639
0309 BKW23D14   01007                    960016370
0309 BKW23E12   01007                    960075818
0309 BKW23B12   01007                    136300242
0309 BKW23D06   01007                    960157982
0309 BKW23B06   01007                    960091689
0309 BKW23C06   01007                    960256859
0309 BKW23D01   01007                    960049985
0309 BKW23D02   01007                    960142655
0309 BKW22E06   01008                    136300160
0309 BKW22F01   01008                    960305862
0309 BKW22A01   01008                    960159853
0309 BKW22A04   01008                    960075069
0309 BKW22B04   01008                    136300051
0309 BKW22C02   01008                    136300053
0309 BKW22C07   01008                    136300050
0309 BKW22D03   01008                    960237981
0309 BKW22D08   01008                    136300501
0309 BKW22C15   01008                    960273798
0309 BKW22E08   01008                    136301363
0309 BKW22F02   01008                    960305861
0309 BKW22F07   01008                    960063275
0309 BKW22A10   01008                    136300170
0309 BKW22B06   01008                    136300052
0309 BKW22F05   01008                    960300955
0309 BKW22A06   01008                    960122649
0309 BKW22A07   01008                    136300652
0309 BKW22B01   01008                    136300049
0309 BKW22C06   01008                    136300493
0309 BKW22D04   01008                    960237979
0309 BKW22D07   01008                    136300504
0309 BKW22E02   01008                    960298558
0309 BKW22C14   01008                    960228529
0309 BKW22 AM   01008                    960095983
0309 BKW22 AM   01008                    960095984
0309 BKW22 AM   01008                    960085723
0309 BKW22A09   01008                    960050103
0309 BKW22F04   01008                    960300953
0309 BKW22A08   01008                    136300171
0309 BKW22C05   01008                    136300058
0309 BKW22D05   01008                    960237978
0309 BKW22D06   01008                    960016330
0309 BKW22E03   01008                    960298561
0309 BKW22C16   01008                    960228528
0309 BKW22C11   01008                    136300423
0309 BKW22B03   01008                    136300054
0309 BKW22C08   01008                    136300489
0309 BKW22E05   01008                    960091683
0309 BKW22C12   01008                    960274107
0309 BKW22A02   01008                    960159646
0309 BKW22D02   01008                    960016286
0309 BKW22E07   01008                    136300142
0309 BKW22E09   01008                    960018878
0309 BKW22A05   01008                    960122650
0309 BKW22C04   01008                    136300057
0309 BKW22D01   01008                    960079575
0309 BKW22D09   01008                    960075068
0309 BKW22B07   01008                    960050302
0309 BKW22F03   01008                    960298560
0309 BKW22F08   01008                    960029107
0309 BKW22 CH   01008                    960049847
0309 BKW22 CH   01008                    960035167
0309 BKW22 CH   01008                    960055581
0309 BKW22 CH   01008                    960046809
0309 BKW22 CH   01008                    960049846
0309 BKW22 CH   01008                    960049988
0309 BKW22 CH   01008                    960166034
0309 BKW22 CH   01008                    960191297
0309 BKW22 CH   01008                    960233207
0309 BKW22 CH   01008                    960240338
0309 BKW22 CH   01008                    960319603
0309 BKW22 CH   01008                    960319797
0309 BKW22 CH   01008                    960289027
0309 BKW22 CH   01008                    960272638
0309 BKW22 CH   01008                    960272643
0309 BKW22 CH   01008                    960191298
0309 BKW22 CH   01008                    960255350
0309 BKW22 CH   01008                    960240544
0309 BKW22 CH   01008                    960166033
0309 BKW22 CH   01008                    960091937
0309 BKW22 CH   01008                    960092073
0309 BKW22 CH   01008                    960092074
0309 BKW22 CH   01008                    960278787
0309 BKW22 CH   01008                    960278792
0309 BKW22 CH   01008                    960279682
0309 BKW22 CH   01008                    960302795
0309 BKW22 CH   01008                    960229533
0309 BKW22 CH   01008                    960233209
0309 BKW22 CH   01008                    960240543
0309 BKW22 CH   01008                    960191299
0309 BKW22 CH   01008                    960085721
0309 BKW22 CH   01008                    960272641
0309 BKW22 CH   01008                    960272654
0309 BKW22 CH   01008                    960274109
0309 BKW22 CH   01008                    960279635
0309 BKW22 CH   01008                    960280440
0309 BKW22 CH   01008                    960319680
0309 BKW22 CH   01008                    960063399
0309 BKW22 CH   01008                    960063531
0309 BKW22 CH   01008                    960127298
0309 BKW22 CH   01008                    960278725
0309 BKW22 CH   01008                    960278790
0309 BKW22 CH   01008                    960272639
0309 BKW22 CH   01008                    960319799
0309 BKW22 CH   01008                    960160935
0309 BKW22 CH   01008                    960223871
0309 BKW22 CH   01008                    960267396
0309 BKW22 CH   01008                    960229537
0309 BKW22 CH   01008                    960233206
0309 BKW22 CH   01008                    960269384
0309 BKW22 CH   01008                    960273132
0309 BKW22 CH   01008                    960283128
0309 BKW22 CH   01008                    960274083
0309 BKW22 CH   01008                    960274228
0309 BKW22 CH   01008                    960319688
0309 BKW22 CH   01008                    960281530
0309 BKW22 CH   01008                    960275374
0309 BKW22 CH   01008                    960300958
0309 BKW22 CH   01008                    960301061
0309 BKW22 CH   01008                    960278595
0309 BKW22 CH   01008                    960278791
0309 BKW22 CH   01008                    960094385
0309 BKW22 CH   01008                    960278596
0309 BKW22 CH   01008                    960278598
0309 BKW22 CH   01008                    960272651
0309 BKW22 CH   01008                    960272664
0309 BKW22 CH   01008                    960274086
0309 BKW22 CH   01008                    960159643
0309 BKW22 CH   01008                    960159645
0309 BKW22 CH   01008                    960160936
0309 BKW22 CH   01008                    960240408
0309 BKW22 CH   01008                    960142656
0309 BKW22 CH   01008                    960127856
0309 BKW22 CH   01008                    960310970
0309 BKW22 CH   01008                    960316844
0309 BKW22 CH   01008                    960319679
0309 BKW22 CH   01008                    960320057
0309 BKW22 CH   01008                    960300073
0309 BKW22 CH   01008                    960300952
0309 BKW22 CH   01008                    960305864
0309 BKW22 CH   01008                    960272635
0309 BKW22 CH   01008                    960272649
0309 BKW22 CH   01008                    960272650
0309 BKW22 CH   01008                    960273070
0309 BKW22 CH   01008                    960274162
0309 BKW22 CH   01008                    960272645
0309 BKW22 CH   01008                    960274013
0309 BKW22 CH   01008                    960319602
0309 BKW22 CH   01008                    960319690
0309 BKW22 CH   01008                    960278597
0309 BKW22 CH   01008                    960138459
0309 BKW22 CH   01008                    960092072
0309 BKW22 CH   01008                    960278599
0309 BKW22 CH   01008                    960278788
0309 BKW22 CH   01008                    960291927
0309 BKW22 CH   01008                    960272637
0309 BKW22 CH   01008                    960272644
0309 BKW22 CH   01008                    960273071
0309 BKW22 CH   01008                    960275372
0309 BKW22 CH   01008                    960319684
0309 BKW22 CH   01008                    960320060
0309 BKW22 CH   01008                    960320129
0309 BKW22 CH   01008                    960091948
0309 BKW22 CH   01008                    960094387
0309 BKW22 CH   01008                    960094437
0309 BKW22 CH   01008                    960278594
0309 BKW22 CH   01008                    960138432
0309 BKW22 CH   01008                    960272634
0309 BKW22 CH   01008                    960272636
0309 BKW22 CH   01008                    960274090
0309 BKW22 CH   01008                    960319681
0309 BKW22 CH   01008                    960319686
0309 BKW22 CH   01008                    960291926
0309 BKW22 CH   01008                    960300072
0309 BKW22 CH   01008                    960091947
0309 BKW22 CH   01008                    136301373
0309 BKW22 CH   01008                    960060927
0309 BKW22 CH   01008                    960063714
0309 BKW22 CH   01008                    960126759
0309 BKW22 CH   01008                    960088129
0309 BKW22 CH   01008                    960273768
0309 BKW22 CH   01008                    960141090
0309 BKW22 CH   01008                    960142273
0309 BKW22 CH   01008                    960142362
0309 BKW22 CH   01008                    960142658
0309 BKW22 CH   01008                    960038418
0309 BKW22 CH   01008                    136301374
0309 BKW22 CH   01008                    960075079
0309 BKW22 CH   01008                    960097295
0309 BKW22 CH   01008                    960111541
0309 BKW22 CH   01008                    960063532
0309 BKW22 CH   01008                    960085402
0309 BKW22 CH   01008                    960115253
0309 BKW22 CH   01008                    960115364
0309 BKW22 CH   01008                    960100908
0309 BKW22 CH   01008                    960063409
0309 BKW22 CH   01008                    136300047
0309 BKW22 CH   01008                    960085718
0309 BKW22 CH   01008                    960074750
0309 BKW22 CH   01008                    960111348
0309 BKW22 CH   01008                    136300159
0309 BKW22 CH   01008                    960082427
0309 BKW22 CH   01008                    960083984
0309 BKW22 CH   01008                    136301301
0309 BKW22 CH   01008                    960060962
0309 BKW22 CH   01008                    960100906
0309 BKW22 CH   01008                    960115453
0309 BKW22 CH   01008                    960081345
0309 BKW22 CH   01008                    960085400
